artist;song;year
Britney Spears;Oops!...I Did It Again;2000
blink-182;All The Small Things;1999
Faith Hill;Breathe;1999
Bon Jovi;It's My Life;2000
*NSYNC;Bye Bye Bye;2000
Sisqo;Thong Song;1999
Eminem;The Real Slim Shady;2000
Robbie Williams;Rock DJ;2000
Destiny's Child;Say My Name;1999
Modjo;Lady - Hear Me Tonight;2001
Gigi D'Agostino;L'Amour Toujours;2011
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;1999
Bomfunk MC's;Freestyler;2000
Sting;Desert Rose;1999
Melanie C;Never Be The Same Again;1999
Aaliyah;Try Again;2002
Anastacia;I'm Outta Love - Radio Edit;1999
Alice Deejay;Better Off Alone;2000
Gigi D'Agostino;The Riddle;1999
Dr. Dre;The Next Episode;1999
Linkin Park;In the End;2000
Tom Jones;Sexbomb;1999
Sonique;It Feels So Good;2000
M.O.P.;Cold as Ice;2000
Melanie C;I Turn To You;1999
Limp Bizkit;Take A Look Around;2000
Darude;Sandstorm;2001
Da Brat;What'chu Like (feat. Tyrese);2000
Moloko;The Time Is Now;2000
Chicane;Don't Give Up;2016
DMX;Party Up;1999
Debelah Morgan;Dance with Me;2000
Madonna;Music;2000
Ruff Endz;No More;2000
Britney Spears;Born to Make You Happy;1999
Montell Jordan;Get It On Tonite;1999
Kylie Minogue;Spinning Around;2000
JAY-Z;Big Pimpin';1999
LeAnn Rimes;I Need You;2001
Avant;Separated;2000
Enrique Iglesias;Be With You;1999
Toni Braxton;He Wasn't Man Enough;2000
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;2000
Dr. Dre;Forgot About Dre;1999
Missy Elliott;Hot Boyz;1998
Backstreet Boys;Show Me the Meaning of Being Lonely;1999
Samantha Mumba;Gotta Tell You;2018
Mýa;Case Of The Ex (Whatcha Gonna Do);2000
Mary Mary;Shackles (Praise You);2000
Next;Wifey;2004
Janet Jackson;Doesn't Really Matter;2001
Ricky Martin;She Bangs - English Version;2000
Jagged Edge;He Can't Love U;2000
Sisqo;Incomplete;1999
JAY-Z;I Just Wanna Love U (Give It 2 Me);2000
Mariah Carey;Thank God I Found You (feat. Joe & 98°);1999
Baha Men;Who Let The Dogs Out;2000
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";1999
LeAnn Rimes;Can't Fight The Moonlight;2001
Oasis;Go Let It Out;2000
DJ Ötzi;Hey Baby (Radio Mix);2010
P!nk;Most Girls;2000
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);2011
Craig David;Fill Me In;2000
Christina Aguilera;I Turn to You;1999
Madonna;American Pie;2000
Red Hot Chili Peppers;Otherside;1999
Sammie;I Like It;2000
Craig David;7 Days;2000
Santana;Maria Maria (feat. The Product G&B);1999
Kandi;Don't Think I'm Not;2000
P!nk;There You Go;2000
Vengaboys;Shalala Lala;2000
Ronan Keating;Life Is A Rollercoaster;2000
Madison Avenue;Don't Call Me Baby;1999
Destiny's Child;Jumpin', Jumpin';1999
Céline Dion;That's the Way It Is;1999
3 Doors Down;Kryptonite;2000
Carl Thomas;I Wish;2000
Mystikal;Shake Ya Ass;2000
Fuel;Hemorrhage (In My Hands);2000
Donell Jones;Where I Wanna Be;1999
Savage Garden;Crash and Burn;1999
Westlife;My Love;2000
All Saints;Pure Shores;2000
Destiny's Child;Independent Women, Pt. 1;2001
*NSYNC;It's Gonna Be Me;2000
Erykah Badu;Bag Lady;2000
Marc Anthony;You Sang To Me;1999
Matchbox Twenty;Bent;2000
Gabrielle;Rise;2001
Backstreet Boys;Shape of My Heart;2000
Creed;With Arms Wide Open;1999
The Corrs;Breathless;2000
Joe;I Wanna Know;2000
Christina Aguilera;Come on over Baby (All I Want Is You) - Radio Version;1999
Creed;Higher;1999
Britney Spears;Lucky;2000
Nelly;Country Grammar (Hot Shit);2000
Shaggy;It Wasn't Me;2000
Destiny's Child;Survivor;2001
Eminem;Stan;2000
Kylie Minogue;Can't Get You out of My Head;2001
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";2001
Nelly Furtado;I'm Like A Bird;2000
Shakira;Whenever, Wherever;2001
Jimmy Eat World;The Middle;2001
Train;Drops of Jupiter (Tell Me);2001
Geri Halliwell;It's Raining Men;2001
Blu Cantrell;Hit 'Em Up Style (Oops!);2001
Britney Spears;I'm a Slave 4 U;2001
Kylie Minogue;In Your Eyes;2001
Missy Elliott;One Minute Man (feat. Ludacris);2001
Mary J. Blige;Family Affair;2001
Faithless;We Come 1 - Radio Edit;2015
Limp Bizkit;Rollin' (Air Raid Vehicle);2000
Lasgo;Something;2001
iio;Rapture (feat.Nadia Ali);2006
Emma Bunton;What Took You So Long?;2001
112;It's Over Now;2001
Blue;All Rise;2001
Jessica Simpson;Irresistible;2001
Crazy Town;Butterfly;1999
Michael Jackson;You Rock My World;2001
Eve;Let Me Blow Ya Mind;2001
Jennifer Lopez;Ain't It Funny;2001
Brandy;Another Day in Paradise - R&B-Version;2002
Nickelback;How You Remind Me;2001
Daft Punk;One More Time;2001
Outkast;Ms. Jackson;2000
Fragma;Everytime You Need Me - Radio Version;2001
Mariah Carey;Loverboy;2001
Dido;Thank You;1999
Joe;Stutter (feat. Mystikal) - Double Take Remix;2000
P.O.D.;Youth of the Nation;2001
Jennifer Lopez;Play;2001
Missy Elliott;Get Ur Freak On;2001
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);2008
Christina Milian;AM To PM;2001
Roger Sanchez;Another Chance;2000
Gorillaz;Clint Eastwood;2001
2Pac;Until The End Of Time;2001
Tamia;Stranger in My House;2000
Mary J. Blige;No More Drama;2001
Jennifer Lopez;Love Don't Cost a Thing;2001
Jamiroquai;Little L;2001
Case;Missing You;2001
112;Peaches & Cream;2001
Five;Let's Dance - Radio Edit;2001
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];2001
Alien Ant Farm;Smooth Criminal;2001
Erick Sermon;Music (feat. Marvin Gaye);2001
D12;Purple Pills;2001
Usher;Pop Ya Collar - Radio Edit;2016
Madonna;Don't Tell Me;2000
Blue;If You Come Back;2001
Atomic Kitten;Eternal Flame - Single Version;2001
Jagged Edge;Where the Party At (feat. Nelly);2001
Afroman;Because I Got High;2001
S Club 7;Don't Stop Movin';2001
Craig David;Fill Me In;2000
Nelly Furtado;Turn Off The Light;2000
The Supermen Lovers;Starlight - Radio Edit;2001
Mis-Teeq;All I Want - Sunship Radio Edit;2004
Jagged Edge;Promise;2000
S Club 7;Have You Ever;2001
Enya;Only Time;2000
Faith Hill;There You'll Be;2001
Ronan Keating;Lovin' Each Day;2000
Destiny's Child;Bootylicious;2001
Steps;It's the Way You Make Me Feel;2000
Sunshine Anderson;Heard It All Before;2001
Lenny Kravitz;Again;2000
Daniel Bedingfield;Gotta Get Thru This - D'N'D Radio Edit;2002
DB Boulevard;Point Of View - Radio Edit;2018
Janet Jackson;All For You;2001
Atomic Kitten;Whole Again;2001
Ja Rule;Livin' It Up;2001
Destiny's Child;Independent Women, Pt. 1;2001
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;2001
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;2001
Musiq Soulchild;Love;2000
So Solid Crew;21 Seconds;2001
Robbie Williams;Eternity;2001
Basement Jaxx;Romeo;2001
Ludacris;Southern Hospitality (Featuring Pharrell);2000
Gabrielle;Rise;2001
Nelly;Ride Wit Me;2000
Trick Daddy;I'm a Thug;2001
Travis;Sing;2001
JAY-Z;Izzo (H.O.V.A.);2001
Gabrielle;Out Of Reach;2001
OPM;Heaven Is a Halfpipe (If I Die);2000
K-Ci & JoJo;Crazy;2019
Staind;It's Been Awhile;2001
3LW;No More (Baby I'ma Do Right);2000
Ginuwine;Differences;2001
*NSYNC;Gone;2001
Lifehouse;Hanging By A Moment;2000
Nelly;Dilemma;2002
Eminem;Without Me;2002
